org_key,year,event_key,match_key,match_number,time,alliance,team_key,scouter,startPosition,autoHerdingPushWave,autoHerdingSpitWave,autoHerdingLaunchWave,autoVolleysAttempted,autoVolleyQuality,autoClimbLevel,autoClimbPos,crossBumpAuto,crossTrenchAuto,autoBreakDown,autoBreakDownDes,teleHerdingPushWave,teleHerdingSpitWave,teleHerdingLaunchWave,volleysAttempted,volleyQuality,teleFeed,crossBumpTele,crossTrenchTele,defendedTime,scoringLocations,feedingLocations,teleClimb,climbTime,drivetrainSpeed,driverSkill,robotTier,contributedPoints,freeClimbPenalty,teleBreakDown,teleBreakDownDes,matchNotes,allianceFuel,proportional_score
frc5298,2026,2026nysu,2026nysu_qm1,1,3/20/2026 12:00:00 PM,red,frc5123,Scout3,Outpost,1,0,0,0,Below Average: 12%,None,N/A,True,True,False,,1,0,0,2,Below Average: 12%,1,False,False,False,Outpost,In front of midline to alliance section,None,0,High,Good,None,5,False,False,,,365,0.0
frc5298,2026,2026nysu,2026nysu_qm1,1,3/20/2026 12:00:00 PM,red,frc10922,Scout4,Outpost,0,2,0,3,Average: 50%,None,N/A,False,True,False,,1,0,0,7,Above Average: 75%,1,True,True,False,3ft radius around hub,In front of midline to alliance section,Level 3,7,Low,Terrible,High,165,False,False,,,365,156.43
frc5298,2026,2026nysu,2026nysu_qm1,1,3/20/2026 12:00:00 PM,red,frc1796,Scout5,Outpost,1,2,0,3,Perfect: 100%,None,N/A,False,False,False,,1,0,2,7,Above Average: 75%,1,False,False,True,6ft radius around hub,Behind midline to alliance section,Level 3,22,Low,Terrible,Elite,195,False,False,,,365,208.57
frc5298,2026,2026nysu,2026nysu_qm1,1,3/20/2026 12:00:00 PM,blue,frc7748,Scout2,Outpost,1,0,0,1,Average: 50%,None,N/A,False,True,False,,1,0,0,2,Below Average: 12%,1,False,False,True,Depot,In front of midline to alliance section,Level 2,17,Low,Good,None,35,False,False,,,200,0.0
frc5298,2026,2026nysu,2026nysu_qm1,1,3/20/2026 12:00:00 PM,blue,frc10262,Scout2,Outpost,1,0,1,2,Above Average: 75%,None,N/A,False,False,False,,0,2,2,3,Average: 50%,1,False,False,False,6ft radius around hub,In front of midline to alliance section,None,0,High,Terrible,Medium,60,False,False,,,200,100.0
frc5298,2026,2026nysu,2026nysu_qm1,1,3/20/2026 12:00:00 PM,blue,frc7611,Scout1,Outpost,0,1,1,2,Average: 50%,None,N/A,False,True,False,,0,0,0,5,Above Average: 75%,2,False,True,False,Outpost,In front of midline to alliance section,Level 1,5,High,Good,Medium,105,False,False,,,200,100.0
frc5298,2026,2026nysu,2026nysu_qm2,2,3/20/2026 12:00:00 PM,red,frc2265,Scout2,Depot,1,1,0,0,Below Average: 12%,None,N/A,True,False,False,,0,1,0,2,Below Average: 12%,1,False,False,False,3ft radius around hub,In front of midline to alliance section,Level 2,12,Low,Average,Low,25,False,False,,,40,13.33
frc5298,2026,2026nysu,2026nysu_qm2,2,3/20/2026 12:00:00 PM,red,frc7318,Scout4,Outpost,1,0,1,1,Below Average: 12%,None,N/A,True,False,False,,0,1,1,1,Below Average: 12%,2,False,False,False,6ft radius around hub,In front of midline to alliance section,None,0,High,Average,Low,5,False,False,,,40,13.33
frc5298,2026,2026nysu,2026nysu_qm2,2,3/20/2026 12:00:00 PM,red,frc3204,Scout5,Outpost,1,0,1,1,Below Average: 12%,None,N/A,False,True,False,,1,1,1,3,Below Average: 12%,1,True,True,False,3ft radius around hub,Behind midline to alliance section,None,0,Low,Terrible,Low,10,False,False,,,40,13.33
frc5298,2026,2026nysu,2026nysu_qm2,2,3/20/2026 12:00:00 PM,blue,frc6300,Scout1,Outpost,2,0,0,2,Below Average: 12%,None,N/A,True,False,False,,0,2,0,5,Average: 50%,2,True,False,True,Depot,Behind midline to alliance section,None,0,Low,Good,Medium,55,False,False,,,112,74.67
frc5298,2026,2026nysu,2026nysu_qm2,2,3/20/2026 12:00:00 PM,blue,frc2601,Scout1,Depot,1,1,1,1,Below Average: 12%,None,N/A,False,False,False,,0,0,1,2,Average: 50%,0,False,False,False,6ft radius around hub,Behind midline to alliance section,None,0,High,Terrible,Low,22,False,False,,,112,37.33
frc5298,2026,2026nysu,2026nysu_qm2,2,3/20/2026 12:00:00 PM,blue,frc10452,Scout2,Mid,0,1,0,1,Average: 50%,None,N/A,True,True,False,,0,1,0,2,Below Average: 12%,1,True,False,False,Depot,Behind midline to alliance section,Level 2,25,High,Terrible,None,35,False,False,,,112,0.0
frc5298,2026,2026nysu,2026nysu_qm3,3,3/20/2026 12:00:00 PM,red,frc2053,Scout2,Mid,2,1,2,1,Above Average: 75%,None,N/A,True,False,False,,2,0,0,8,Above Average: 75%,1,False,False,False,6ft radius around hub,Behind midline to alliance section,None,0,Low,Good,High,135,False,False,,,140,105.0
frc5298,2026,2026nysu,2026nysu_qm3,3,3/20/2026 12:00:00 PM,red,frc5123,Scout3,Mid,0,1,1,0,Below Average: 12%,None,N/A,False,False,True,Motor issue,1,0,0,0,Below Average: 12%,1,True,False,True,Depot,In front of midline to alliance section,None,0,Low,Average,None,0,False,True,Motor issue,,140,0.0
frc5298,2026,2026nysu,2026nysu_qm3,3,3/20/2026 12:00:00 PM,red,frc3204,Scout1,Outpost,1,1,1,0,Below Average: 12%,None,N/A,False,False,False,,1,0,1,2,Below Average: 12%,2,False,False,True,6ft radius around hub,Behind midline to alliance section,None,0,High,Terrible,Low,5,False,False,,,140,35.0
frc5298,2026,2026nysu,2026nysu_qm3,3,3/20/2026 12:00:00 PM,blue,frc7730,Scout6,Mid,1,1,1,1,Average: 50%,None,N/A,False,False,False,,1,1,1,1,Average: 50%,2,False,False,True,3ft radius around hub,Behind midline to alliance section,None,0,High,Terrible,None,20,False,False,,,285,0.0
frc5298,2026,2026nysu,2026nysu_qm3,3,3/20/2026 12:00:00 PM,blue,frc10262,Scout6,Outpost,0,2,1,1,Above Average: 75%,None,N/A,False,False,False,,2,0,2,4,Below Average: 12%,0,False,True,False,6ft radius around hub,In front of midline to alliance section,Level 1,26,Low,Terrible,Medium,35,False,False,,,285,95.0
