matchNumber,teamNumber,startPosition,autoFuel,autoFuel_timestamps,autoFeed,autoAccuracy,autoClimbLevel,autoClimbPos,crossBumpAuto,crossTrenchAuto,autoOofTime,teleFuel,teleFuel_timestamps,teleFeed,teleAccuracy,crossBumpTele,crossTrenchTele,teleOofTime,attackingTime,defendedTime,scoringLocations,feedingLocations,teleClimb,climbTime,drivetrainSpeed,driverSkill,freeClimbPenalty,matchNotes,contributedPoints
1,2056,Mid,4,"[1.3, 3.0, 3.5, 4.8]",0,80,,,TRUE,TRUE,0,18,"[18.7, 20.4, 44.2, 47.0, 47.7, 59.4, 64.1, 68.0, 76.4, 78.9, 87.7, 90.3, 90.6, 105.6, 107.1, 110.4, 112.2, 118.0]",0,79,FALSE,FALSE,5,11,4,Hub,Mid,Level 2,11,Medium,Good,FALSE,Great defense evasion,30
1,254,Left,6,"[1.5, 1.6, 2.0, 2.5, 2.6, 3.6]",0,98,,,TRUE,FALSE,0,17,"[18.5, 26.0, 32.4, 37.6, 46.9, 50.6, 50.6, 53.5, 53.7, 59.0, 59.6, 80.8, 83.3, 84.8, 86.2, 99.7, 104.7]",0,78,TRUE,FALSE,9,9,6,Hub,Mid,None,0,Medium,Excellent,FALSE,Strong defense,50
1,1678,Left,4,"[1.1, 1.9, 3.8, 4.4]",0,75,,,FALSE,FALSE,0,11,"[14.3, 15.4, 16.4, 18.7, 19.2, 21.5, 71.0, 81.2, 92.7, 95.1, 116.0]",0,84,FALSE,FALSE,0,16,12,Hub,Trench,Level 3,10,Medium,Good,FALSE,Great defense evasion,42
1,148,Left,3,"[1.2, 1.6, 3.4]",0,88,,,FALSE,FALSE,0,17,"[12.4, 13.2, 15.8, 21.3, 22.4, 25.9, 31.2, 31.7, 33.9, 47.5, 56.3, 56.4, 65.0, 85.5, 92.4, 96.6, 110.6]",0,84,TRUE,FALSE,9,5,23,Hub,Trench,None,0,Medium,Excellent,FALSE,Smooth cycles,25
1,1323,Mid,3,"[1.9, 4.2, 4.5]",0,91,,,FALSE,TRUE,0,16,"[12.4, 15.5, 21.9, 27.3, 35.1, 41.1, 42.0, 45.3, 47.0, 77.3, 83.3, 90.7, 94.5, 96.7, 101.9, 114.9]",0,72,TRUE,TRUE,1,7,0,Hub,Trench,None,0,Medium,Good,FALSE,Great defense evasion,26
1,1678,Left,2,"[1.3, 4.1]",0,83,,,TRUE,TRUE,0,9,"[24.9, 31.2, 32.8, 40.1, 56.6, 60.2, 85.3, 89.0, 97.2]",0,88,TRUE,TRUE,4,0,11,Hub,Mid,Level 2,4,Medium,Good,FALSE,Fast climb,42
2,148,Mid,2,"[1.2, 2.3]",0,89,,,TRUE,TRUE,0,13,"[10.9, 16.6, 16.8, 18.4, 35.1, 58.0, 63.5, 65.0, 77.9, 83.8, 94.3, 99.3, 101.5]",0,93,FALSE,FALSE,8,7,26,Hub,Mid,None,0,Fast,Excellent,FALSE,Missed a few shots,31
2,604,Mid,4,"[1.0, 4.4, 4.8, 4.9]",0,84,,,FALSE,TRUE,0,8,"[11.9, 51.6, 61.3, 102.4, 104.6, 105.0, 106.7, 117.2]",0,92,FALSE,TRUE,3,5,16,Hub,Trench,Level 3,9,Fast,Excellent,FALSE,Great defense evasion,36
2,1690,Mid,3,"[3.1, 3.6, 4.0]",0,95,,,TRUE,TRUE,0,15,"[10.9, 14.6, 16.3, 17.6, 33.3, 35.0, 37.4, 41.5, 68.6, 77.4, 84.2, 84.8, 89.2, 93.7, 104.7]",0,91,TRUE,TRUE,8,1,16,Hub,Mid,None,0,Fast,Good,FALSE,Very consistent,38
2,2056,Right,3,"[1.9, 2.0, 2.8]",0,97,,,TRUE,TRUE,0,10,"[58.8, 70.9, 72.1, 76.9, 89.3, 102.0, 103.2, 110.8, 117.3, 118.2]",0,73,FALSE,FALSE,4,2,1,Hub,Trench,None,0,Fast,Excellent,FALSE,Great shooting,34
2,1690,Mid,4,"[1.7, 2.3, 2.7, 3.5]",0,95,,,FALSE,FALSE,0,18,"[12.0, 32.0, 37.1, 44.3, 45.1, 50.1, 50.5, 57.8, 62.3, 62.5, 68.3, 76.8, 80.6, 87.6, 103.9, 111.1, 115.0, 117.6]",0,70,FALSE,TRUE,5,20,29,Hub,Mid,Level 2,8,Fast,Excellent,FALSE,Great defense evasion,36
2,1690,Mid,4,"[1.6, 3.3, 3.6, 4.4]",0,80,,,FALSE,TRUE,0,16,"[13.9, 16.9, 20.0, 32.9, 38.6, 40.4, 66.8, 71.8, 76.0, 76.4, 90.0, 91.6, 92.8, 109.2, 113.0, 118.9]",0,70,FALSE,TRUE,5,17,20,Hub,Trench,Level 3,9,Fast,Good,FALSE,Slow aim but accurate,50
3,604,Left,3,"[1.2, 2.4, 3.4]",0,93,,,FALSE,FALSE,0,10,"[23.0, 30.2, 47.7, 51.5, 73.3, 76.7, 79.3, 88.6, 97.1, 106.7]",0,78,TRUE,FALSE,0,9,5,Hub,Trench,Level 3,6,Medium,Excellent,FALSE,Strong defense,39
3,3476,Mid,6,"[3.2, 3.4, 3.5, 4.5, 4.6, 4.7]",0,89,,,FALSE,TRUE,0,8,"[14.3, 18.0, 35.3, 57.7, 67.5, 69.1, 82.5, 105.8]",0,88,TRUE,FALSE,2,18,10,Hub,Mid,Level 3,6,Fast,Excellent,FALSE,Missed a few shots,45
3,148,Left,5,"[1.8, 2.5, 3.2, 3.7, 4.9]",0,97,,,TRUE,FALSE,0,10,"[17.2, 31.8, 31.8, 46.0, 55.0, 56.8, 72.8, 98.0, 103.1, 105.2]",0,70,TRUE,TRUE,8,3,20,Hub,Trench,None,0,Fast,Good,FALSE,Great defense evasion,36
3,1678,Mid,3,"[1.6, 2.3, 3.3]",0,88,,,FALSE,FALSE,0,18,"[10.8, 16.7, 29.8, 34.4, 34.6, 37.3, 42.8, 48.1, 50.7, 65.8, 67.5, 70.5, 72.9, 80.4, 90.6, 95.5, 99.7, 118.0]",0,90,TRUE,FALSE,9,7,29,Hub,Trench,Level 3,12,Fast,Excellent,FALSE,Smooth cycles,40
3,148,Mid,4,"[1.9, 2.4, 4.2, 4.9]",0,89,,,FALSE,TRUE,0,8,"[18.4, 37.8, 51.6, 58.7, 72.1, 77.4, 93.7, 101.1]",0,91,FALSE,FALSE,10,10,15,Hub,Mid,None,0,Fast,Good,FALSE,Strong defense,39
3,118,Left,2,"[2.8, 3.3]",0,75,,,TRUE,FALSE,0,17,"[12.4, 21.7, 25.4, 26.4, 29.9, 45.6, 58.2, 59.5, 65.2, 72.3, 87.8, 101.9, 103.8, 104.4, 107.8, 113.0, 115.5]",0,94,FALSE,TRUE,7,8,26,Hub,Mid,None,0,Fast,Good,FALSE,Smooth cycles,36
4,148,Left,6,"[1.5, 3.0, 3.5, 4.4, 4.6, 4.9]",0,87,,,FALSE,TRUE,0,18,"[12.6, 14.8, 25.4, 44.2, 50.1, 51.3, 54.8, 59.5, 67.7, 67.7, 69.8, 77.1, 85.5, 103.9, 109.1, 110.2, 113.2, 119.8]",0,87,TRUE,TRUE,8,11,18,Hub,Mid,Level 3,10,Medium,Good,FALSE,Got defended heavily,39
4,4414,Left,2,"[2.8, 4.0]",0,75,,,FALSE,FALSE,0,12,"[16.3, 25.4, 45.5, 55.5, 75.6, 76.5, 79.4, 94.9, 97.0, 98.4, 108.8, 119.4]",0,90,FALSE,FALSE,8,10,4,Hub,Trench,Level 2,12,Medium,Good,FALSE,Great shooting,43
4,971,Left,5,"[3.4, 3.7, 4.3, 4.8, 4.9]",0,98,,,FALSE,TRUE,0,8,"[42.5, 43.8, 56.8, 67.0, 68.3, 79.0, 100.7, 111.1]",0,92,FALSE,TRUE,3,17,16,Hub,Mid,None,0,Fast,Excellent,FALSE,Very consistent,49
4,1619,Right,5,"[2.4, 3.2, 3.9, 4.4, 4.8]",0,82,,,TRUE,FALSE,0,17,"[10.9, 14.3, 15.9, 16.3, 24.2, 26.4, 27.0, 40.5, 48.5, 72.6, 75.0, 83.0, 84.9, 88.2, 88.8, 94.3, 99.1]",0,79,FALSE,TRUE,3,10,21,Hub,Mid,Level 2,9,Fast,Excellent,FALSE,Great shooting,30
4,148,Mid,5,"[1.8, 1.9, 3.0, 4.0, 4.9]",0,91,,,FALSE,FALSE,0,10,"[11.1, 25.6, 27.0, 57.2, 95.2, 101.0, 102.8, 109.5, 112.4, 117.2]",0,85,TRUE,FALSE,5,14,19,Hub,Trench,Level 2,10,Medium,Excellent,FALSE,Got defended heavily,38
4,1678,Right,3,"[4.1, 4.3, 4.5]",0,76,,,FALSE,TRUE,0,15,"[44.0, 54.7, 57.0, 61.0, 67.2, 82.3, 84.0, 85.1, 88.7, 90.1, 90.8, 91.3, 99.6, 109.1, 117.2]",0,71,FALSE,TRUE,9,17,7,Hub,Mid,Level 3,10,Fast,Excellent,FALSE,Strong defense,35
5,148,Left,5,"[1.7, 2.3, 3.4, 3.6, 4.5]",0,89,,,TRUE,TRUE,0,8,"[31.5, 33.7, 44.1, 88.4, 93.1, 95.4, 102.4, 110.2]",0,92,FALSE,FALSE,6,1,2,Hub,Trench,None,0,Fast,Excellent,FALSE,Great defense evasion,44
5,148,Right,6,"[2.5, 2.8, 2.8, 3.9, 3.9, 4.4]",0,89,,,FALSE,FALSE,0,16,"[35.2, 36.2, 53.8, 56.5, 64.6, 71.8, 73.6, 74.9, 95.4, 97.2, 100.9, 104.8, 105.1, 114.3, 117.6, 119.7]",0,94,TRUE,FALSE,3,13,26,Hub,Mid,Level 3,11,Fast,Excellent,FALSE,Very consistent,36
5,4414,Left,4,"[1.2, 1.5, 3.2, 4.9]",0,82,,,TRUE,TRUE,0,18,"[21.6, 22.3, 29.1, 32.4, 53.3, 70.8, 71.9, 74.5, 77.5, 78.1, 79.6, 86.4, 88.1, 102.3, 112.1, 113.7, 117.7, 118.9]",0,94,FALSE,FALSE,1,8,5,Hub,Trench,None,0,Fast,Excellent,FALSE,Great defense evasion,31
5,1114,Left,6,"[1.9, 2.8, 3.0, 3.4, 3.5, 3.6]",0,85,,,FALSE,TRUE,0,10,"[15.9, 17.5, 17.6, 21.1, 28.2, 59.7, 63.6, 68.2, 88.0, 118.9]",0,91,TRUE,TRUE,0,7,22,Hub,Trench,None,0,Medium,Good,FALSE,Slow aim but accurate,41
5,118,Mid,4,"[1.8, 2.8, 4.1, 5.0]",0,76,,,FALSE,FALSE,0,8,"[21.6, 25.1, 61.3, 66.2, 83.6, 89.9, 91.3, 99.1]",0,85,FALSE,FALSE,6,12,28,Hub,Trench,Level 2,10,Medium,Good,FALSE,Fast climb,40
5,148,Right,5,"[1.3, 1.3, 1.4, 2.1, 5.0]",0,90,,,FALSE,TRUE,0,11,"[13.1, 18.8, 49.6, 66.2, 74.6, 74.9, 76.0, 97.6, 112.5, 115.6, 116.4]",0,73,FALSE,TRUE,0,3,16,Hub,Mid,Level 2,6,Fast,Excellent,FALSE,Great shooting,37
